##############        GENERATION 0  ###############
15 0 ['GioNoMinimax', 'GioGenetic'] ['43', '1', '0', '* draw: same game state occurred for 3rd time'] -5057
15 1 ['GioNoMinimax', 'GioGenetic'] ['34', '7', '4', '* winner: upper'] -5266
15 2 ['GioGenetic', 'GioNoMinimax'] ['23', '7', '1', '* winner: lower'] -5577
15 3 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '7', '* winner: lower'] -4970
15 4 ['GioGenetic', 'GioNoMinimax'] ['34', '7', '4', '* winner: lower'] -5266
15 5 ['GioGenetic', 'GioNoMinimax'] ['35', '7', '4', '* winner: lower'] -5265
15 6 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '3', '* winner: upper'] -5367
15 7 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '1', '* winner: upper'] -5569
15 8 ['GioGenetic', 'GioNoMinimax'] ['25', '7', '1', '* winner: lower'] -5575
15 9 ['GioGenetic', 'GioNoMinimax'] ['22', '7', '3', '* winner: lower'] -5378
fitness value of chromosome 15 :   -53290
16 0 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '2', '* winner: lower'] -5468
16 1 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '4', '* winner: upper'] -5269
16 2 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '3', '* winner: upper'] -5374
16 3 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '2', '* winner: lower'] -5467
16 4 ['GioNoMinimax', 'GioGenetic'] ['25', '7', '1', '* winner: upper'] -5575
16 5 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '4', '* winner: lower'] -5267
16 6 ['GioGenetic', 'GioNoMinimax'] ['37', '7', '3', '* winner: lower'] -5363
16 7 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '6', '* winner: lower'] -5073
16 8 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '3', '* winner: upper'] -5371
16 9 ['GioGenetic', 'GioNoMinimax'] ['19', '7', '1', '* winner: lower'] -5581
fitness value of chromosome 16 :   -53808
17 0 ['GioGenetic', 'GioNoMinimax'] ['38', '8', '3', '* winner: lower'] -5462
17 1 ['GioNoMinimax', 'GioGenetic'] ['34', '7', '4', '* winner: upper'] -5266
17 2 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '3', '* winner: lower'] -5370
17 3 ['GioGenetic', 'GioNoMinimax'] ['22', '7', '4', '* winner: lower'] -5278
17 4 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '2', '* winner: lower'] -5468
17 5 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '4', '* winner: upper'] -5274
17 6 ['GioNoMinimax', 'GioGenetic'] ['41', '7', '6', '* winner: upper'] -5059
17 7 ['GioGenetic', 'GioNoMinimax'] ['31', '7', '5', '* winner: lower'] -5169
17 8 ['GioNoMinimax', 'GioGenetic'] ['48', '7', '3', '* winner: upper'] -5352
17 9 ['GioNoMinimax', 'GioGenetic'] ['26', '6', '3', '* winner: upper'] -5274
fitness value of chromosome 17 :   -52972
18 0 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '4', '* winner: upper'] -5273
18 1 ['GioGenetic', 'GioNoMinimax'] ['23', '7', '3', '* winner: lower'] -5377
18 2 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '2', '* winner: lower'] -5471
18 3 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '4', '* winner: lower'] -5272
18 4 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '5', '* winner: upper'] -5171
18 5 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '2', '* winner: lower'] -5471
18 6 ['GioGenetic', 'GioNoMinimax'] ['32', '7', '2', '* winner: lower'] -5468
18 7 ['GioNoMinimax', 'GioGenetic'] ['27', '1', '0', '* draw: same game state occurred for 3rd time'] -5073
18 8 ['GioGenetic', 'GioNoMinimax'] ['37', '7', '4', '* winner: lower'] -5263
18 9 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '1', '* winner: upper'] -5567
fitness value of chromosome 18 :   -53406
19 0 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '3', '* winner: upper'] -5369
19 1 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '3', '* winner: lower'] -5373
19 2 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '7', '* winner: lower'] -4973
19 3 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '3', '* winner: upper'] -5370
19 4 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '6', '* winner: upper'] -5071
19 5 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '2', '* winner: lower'] -5473
19 6 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '2', '* winner: upper'] -5472
19 7 ['GioNoMinimax', 'GioGenetic'] ['26', '6', '6', '* draw: both players have an invincible token'] -974
19 8 ['GioNoMinimax', 'GioGenetic'] ['37', '7', '2', '* winner: upper'] -5463
19 9 ['GioGenetic', 'GioNoMinimax'] ['27', '7', '4', '* winner: lower'] -5273
fitness value of chromosome 19 :   -48811
#######  fittest chromosome in generation 0 is having fitness value:   -43224
[ 0.8   0.26  0.95  0.48  0.11 -0.63  0.22  0.36 -0.36  0.24  0.1 ]
[-0.7  -0.96  0.26 -0.74  0.55 -0.14 -0.65 -0.31 -0.23  0.66 -0.25]
[-0.63 -0.83  0.66  0.76 -0.38  0.73  0.55  0.75 -0.48 -0.95  0.1 ]
[-0.47  0.02 -0.62 -0.52  0.5   0.06 -0.8   0.07  0.85 -0.48 -0.69]
##############        GENERATION 1  ###############
0 0 ['GioNoMinimax', 'GioGenetic'] ['34', '7', '5', '* winner: upper'] -5166
0 1 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '3', '* winner: upper'] -5372
0 2 ['GioGenetic', 'GioNoMinimax'] ['38', '6', '7', '* draw: both players have an invincible token'] -862
0 3 ['GioGenetic', 'GioNoMinimax'] ['38', '7', '7', '* draw: both players have an invincible token'] -962
0 4 ['GioNoMinimax', 'GioGenetic'] ['30', '7', '3', '* winner: upper'] -5370
0 5 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '3', '* winner: lower'] -5370
0 6 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '4', '* winner: lower'] -5270
0 7 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '2', '* winner: lower'] -5472
0 8 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '2', '* winner: upper'] -5471
0 9 ['GioNoMinimax', 'GioGenetic'] ['27', '6', '6', '* draw: both players have an invincible token'] -973
fitness value of chromosome 0 :   -40288
1 0 ['GioGenetic', 'GioNoMinimax'] ['31', '7', '6', '* winner: lower'] -5069
1 1 ['GioGenetic', 'GioNoMinimax'] ['35', '7', '4', '* winner: lower'] -5265
1 2 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '5', '* winner: lower'] -5170
1 3 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '2', '* winner: upper'] -5471
1 4 ['GioGenetic', 'GioNoMinimax'] ['21', '7', '2', '* winner: lower'] -5479
1 5 ['GioGenetic', 'GioNoMinimax'] ['35', '7', '4', '* winner: lower'] -5265
1 6 ['GioGenetic', 'GioNoMinimax'] ['23', '7', '3', '* winner: lower'] -5377
1 7 ['GioGenetic', 'GioNoMinimax'] ['34', '7', '3', '* winner: lower'] -5366
1 8 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '4', '* winner: lower'] -5271
1 9 ['GioGenetic', 'GioNoMinimax'] ['26', '7', '4', '* winner: lower'] -5274
fitness value of chromosome 1 :   -53007
